Time,Y,Z
1.0,2.0,2.0
1.0001,2.000199995,1.9998999749980002
1.0002,2.000399979995,1.9997999000060105
1.0003,2.0005999549800015,1.9996997750340535
1.0004,2.000799919950007,1.9995996000921672
1.0005,2.00099987490002,1.9994993751904047
1.0006,2.0011998198250454,1.999399100338834
1.0007,2.0013997547200884,1.9992987755475384
1.0008,2.0015996795801554,1.9991984008266164
1.0009,2.001799594400254,1.9990979761861816
1.001,2.001999499175393,1.9989975016363626
1.0010999999999999,2.002199393900582,1.9988969771873033
1.0011999999999999,2.0023992785708313,1.9987964028491627
1.0012999999999999,2.0025991531811522,1.998695778632115
1.0013999999999998,2.002799017726558,1.9985951045463493
1.0014999999999998,2.002998872202062,1.9984943806020699
1.0015999999999998,2.003198716602679,1.9983936068094963
1.0016999999999998,2.0033985509234244,1.9982927831788633
1.0017999999999998,2.0035983751593154,1.9981919097204204
1.0018999999999998,2.0037981893053693,1.9980909864444323
1.0019999999999998,2.003997993356605,1.9979900133611792
1.0020999999999998,2.0041977873080423,1.997888990480956
1.0021999999999998,2.0043975711547017,1.9977879178140732
1.0022999999999997,2.0045973448916055,1.9976867953708557
1.0023999999999997,2.004797108513776,1.997585623161644
1.0024999999999997,2.004996862016238,1.9974844011967936
1.0025999999999997,2.005196605394016,1.997383129486675
1.0026999999999997,2.005396338642136,1.997281808041674
1.0027999999999997,2.0055960617556248,1.9971804368721917
1.0028999999999997,2.0057957747295108,1.9970790159886436
1.0029999999999997,2.005995477558823,1.9969775454014607
1.0030999999999997,2.0061951702385916,1.996876025121089
1.0031999999999996,2.0063948527638478,1.99677445515799
1.0032999999999996,2.0065945251296236,1.9966728355226395
1.0033999999999996,2.0067941873309527,1.9965711662255292
1.0034999999999996,2.006993839362869,1.9964694472771654
1.0035999999999996,2.0071934812204084,1.9963676786880695
1.0036999999999996,2.007393112898607,1.9962658604687782
1.0037999999999996,2.007592734392502,1.9961639926298431
1.0038999999999996,2.007792345697133,1.996062075181831
1.0039999999999996,2.0079919468075387,1.9959601081353238
1.0040999999999995,2.0081915377187602,1.995858091500918
1.0041999999999995,2.0083911184258394,1.9957560252892261
1.0042999999999995,2.0085906889238188,1.9956539095108747
1.0043999999999995,2.0087902492077423,1.995551744176506
1.0044999999999995,2.008989799272655,1.995449529296777
1.0045999999999995,2.009189339113602,1.9953472648823602
1.0046999999999995,2.009388868725632,1.9952449509439425
1.0047999999999995,2.0095883881037917,1.9951425874922264
1.0048999999999995,2.0097878972431307,1.9950401745379291
1.0049999999999994,2.0099873961386994,1.9949377120917833
1.0050999999999994,2.0101868847855493,1.9948352001645362
1.0051999999999994,2.010386363178733,1.9947326387669504
1.0052999999999994,2.0105858313133034,1.9946300279098035
1.0053999999999994,2.0107852891843154,1.994527367603888
1.0054999999999994,2.0109847367868245,1.9944246578600113
1.0055999999999994,2.0111841741158876,1.9943218986889963
1.0056999999999994,2.0113836011665627,1.9942190901016807
1.0057999999999994,2.0115830179339085,1.9941162321089174
1.0058999999999994,2.011782424412985,1.9940133247215739
1.0059999999999993,2.0119818205988533,1.993910367950533
1.0060999999999993,2.0121812064865754,1.9938073618066925
1.0061999999999993,2.012380582071215,1.9937043063009654
1.0062999999999993,2.0125799473478363,1.9936012014442794
1.0063999999999993,2.0127793023115044,1.9934980472475774
1.0064999999999993,2.0129786469572863,1.9933948437218172
1.0065999999999993,2.0131779812802493,1.9932915908779718
1.0066999999999993,2.0133773052754624,1.993188288727029
1.0067999999999993,2.013576618937995,1.9930849372799917
1.0068999999999992,2.013775922262919,1.992981536547878
1.0069999999999992,2.013975215245305,1.9928780865417206
1.0070999999999992,2.0141744978802274,1.9927745872725675
1.0071999999999992,2.0143737701627598,1.9926710387514817
1.0072999999999992,2.014573032087978,1.9925674409895409
1.0073999999999992,2.014772283650958,1.9924637939978382
1.0074999999999992,2.0149715248467777,1.9923600977874814
1.0075999999999992,2.015170755670516,1.9922563523695933
1.0076999999999992,2.015369976117252,1.992152557755312
1.0077999999999991,2.0155691861820673,1.9920487139557903
1.0078999999999991,2.0157683858600435,1.9919448209821957
1.0079999999999991,2.015967575146264,1.9918408788457114
1.008099999999999,2.016166754035813,1.991736887557535
